Date,Open,High,Low,Close,Adj Close,Volume
2017-10-20,227.470001,227.899994,224.169998,224.839996,224.588364,19000
2017-10-23,225.410004,226.490005,224.009995,224.220001,223.969070,32300
2017-10-24,225.309998,225.919998,221.820007,223.800003,223.549545,29600
2017-10-25,223.399994,224.589996,220.899994,223.389999,223.139999,22500
2017-10-26,222.949997,225.779999,222.649994,223.860001,223.860001,22800
2017-10-27,224.949997,225.339996,221.970001,222.570007,222.570007,28200
2017-10-30,222.160004,223.360001,220.250000,221.020004,221.020004,22700
2017-10-31,222.320007,227.690002,221.570007,225.559998,225.559998,31300
2017-11-01,226.250000,228.110001,224.059998,224.699997,224.699997,34500
2017-11-02,225.130005,225.899994,223.360001,224.419998,224.419998,19800
2017-11-03,225.199997,225.800003,222.330002,224.190002,224.190002,21500
2017-11-06,223.559998,225.250000,223.000000,224.259995,224.259995,31100
2017-11-07,224.119995,225.250000,221.360001,223.929993,223.929993,38900
2017-11-08,220.300003,220.300003,182.259995,206.259995,206.259995,360600
2017-11-09,204.559998,204.699997,198.000000,198.009995,198.009995,80100
2017-11-10,197.479996,200.600006,194.339996,195.869995,195.869995,61000
2017-11-13,195.869995,204.789993,195.869995,202.119995,202.119995,57300
2017-11-14,202.250000,207.199997,202.250000,204.149994,204.149994,78700
2017-11-15,201.839996,203.860001,198.910004,199.880005,199.880005,59600
2017-11-16,200.110001,205.589996,200.110001,204.419998,204.419998,59400
2017-11-17,202.830002,205.500000,202.229996,202.740005,202.740005,37000
2017-11-20,202.860001,204.500000,200.000000,204.259995,204.259995,63200
2017-11-21,204.259995,207.419998,203.139999,207.419998,207.419998,47000
2017-11-22,206.639999,207.479996,203.990005,204.550003,204.550003,40400
2017-11-24,204.080002,206.580002,202.500000,204.550003,204.550003,17800
2017-11-27,203.850006,206.250000,203.139999,205.509995,205.509995,47200
2017-11-28,205.149994,209.539993,203.850006,207.050003,207.050003,78700
2017-11-29,209.130005,212.639999,207.500000,211.440002,211.440002,67800
2017-11-30,212.160004,216.119995,211.500000,215.710007,215.710007,59700
2017-12-01,215.020004,218.589996,212.399994,216.929993,216.929993,50400
2017-12-04,218.300003,219.500000,212.100006,212.690002,212.690002,52600
2017-12-05,212.309998,213.490005,210.380005,211.600006,211.600006,37100
2017-12-06,211.339996,220.000000,211.339996,218.880005,218.880005,35700
2017-12-07,218.970001,225.250000,213.350006,225.199997,225.199997,70100
2017-12-08,226.910004,226.910004,220.289993,224.970001,224.970001,67800
2017-12-11,225.009995,229.000000,222.100006,227.520004,227.520004,73600
2017-12-12,227.410004,229.470001,222.009995,223.229996,223.229996,71500
2017-12-13,223.199997,226.300003,218.179993,218.539993,218.539993,66400
2017-12-14,219.699997,220.000000,216.000000,216.800003,216.800003,62500
2017-12-15,217.309998,226.479996,216.080002,226.389999,226.389999,169300
2017-12-18,227.910004,230.000000,223.250000,224.610001,224.610001,41000
2017-12-19,224.850006,225.500000,221.270004,222.339996,222.339996,51500
2017-12-20,221.070007,223.949997,220.910004,222.570007,222.570007,30800
2017-12-21,223.050003,229.429993,222.070007,224.059998,224.059998,79800
2017-12-22,225.300003,227.449997,221.570007,221.970001,221.970001,30900
2017-12-26,222.000000,222.970001,217.639999,218.660004,218.660004,68300
2017-12-27,218.089996,220.130005,216.809998,219.520004,219.520004,76300
2017-12-28,219.559998,220.399994,216.820007,216.830002,216.830002,40800
2017-12-29,218.160004,218.899994,215.000000,215.259995,215.259995,38200
